,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Region,Still admitted,Tests  performed in last 24 hours
10,8340,1276,9360,21-04-20,297,74,577,755,KP,328,579
11,35890,4195,60649,21-04-20,742,45,2257,1806,Punjab,1151,2345
13,26058,2764,26058,21-04-20,635,61,1223,1600,Sindh,845,1600
6,1416,51,1416,22-04-20,23,0,0,6,AJK,28,6
7,7650,552,6130,22-04-20,168,8,294,619,Balochistan,82,329
8,3047,290,2859,22-04-20,201,3,76,118,GB,10,141
9,6931,204,6931,22-04-20,26,3,167,483,ICT,8,483
10,9828,1453,10837,22-04-20,414,83,605,704,KP,351,1009
11,38965,4590,66030,22-04-20,790,58,21452,1812,Punjab,1290,2635
13,30346,3373,30346,22-04-20,715,69,1579,2097,Sindh,1010,2097
6,1471,55,1471,23-04-20,0,0,0,55,AJK,30,55
7,8358,607,6504,23-04-20,346,8,0,708,Balochistan,79,374
8,3239,300,2998,23-04-20,75,3,0,192,GB,10,182
9,7519,214,7519,23-04-20,173,3,0,588,ICT,12,588
10,10954,1541,11963,23-04-20,628,85,0,1126,KP,373,1126
11,40157,4767,67882,23-04-20,2497,65,0,1192,Punjab,1300,1832
13,33028,3671,33028,23-04-20,1805,73,0,2682,Sindh,1063,2682
6,1522,55,1522,24-04-20,0,0,0,51,AJK,27,51
7,8794,656,6742,24-04-20,393,10,0,436,Balochistan,77,236
8,3434,307,3162,24-04-20,81,3,0,195,GB,10,164
9,8059,223,8059,24-04-20,177,3,0,540,ICT,14,540
10,12100,1708,13109,24-04-20,738,89,12,1146,KP,409,1146
11,41126,5046,69971,24-04-20,2577,73,20,969,Punjab,1331,2089
13,35582,3945,35582,24-04-20,1893,75,14,2554,Sindh,1205,2554
6,1588,55,1588,25-04-20,0,0,0,66,AJK,23,66
7,10404,722,7212,25-04-20,449,11,0,1610,Balochistan,86,470
8,3591,308,3273,25-04-20,79,3,0,157,GB,10,111
9,8455,235,8455,25-04-20,188,3,0,396,ICT,15,396
10,12921,1793,13930,25-04-20,760,93,10,821,KP,455,821
11,42456,5378,71726,25-04-20,2577,81,25,1330,Punjab,1594,1755
13,38181,4232,38181,25-04-20,2146,78,14,2599,Sindh,1206,2599
6,1588,55,1588,26-04-20,32,0,0,66,AJK,23,66
7,10404,722,7212,26-04-20,176,11,449,1610,Balochistan,86,470
8,3591,308,3273,26-04-20,216,3,79,157,GB,10,111
9,8455,235,8455,26-04-20,29,3,188,396,ICT,15,396
10,12921,1793,13930,26-04-20,485,93,760,821,KP,455,821
11,42456,5378,71726,26-04-20,1126,81,2577,1330,Punjab,1594,1755
13,38181,4232,38181,26-04-20,802,78,2146,2599,Sindh,1206,2599
6,1692,59,1692,27-04-20,35,0,0,104,AJK,24,104
7,11279,781,7582,27-04-20,176,13,502,875,Balochistan,90,370
8,3675,318,3398,27-04-20,219,3,86,84,GB,10,125
9,8753,245,8753,27-04-20,29,3,198,298,ICT,15,298
10,13880,1864,14889,27-04-20,515,98,767,959,KP,484,959
11,42684,5446,73226,27-04-20,1183,83,2578,228,Punjab,1602,1500
13,41216,4615,41216,27-04-20,872,81,2432,3035,Sindh,1230,3035
6,1713,65,1713,28-04-20,35,0,0,21,AJK,30,21
7,12337,853,7991,28-04-20,176,14,570,1058,Balochistan,93,409
8,3736,320,3515,28-04-20,222,3,85,61,GB,10,117
9,9247,261,9247,28-04-20,36,4,203,494,ICT,18,494
10,14728,1984,15737,28-04-20,533,104,847,848,KP,500,848
11,44999,5640,75071,28-04-20,1306,91,2579,2315,Punjab,1664,1845
13,43949,4956,43949,28-04-20,925,85,2705,2733,Sindh,1241,2733
6,1826,65,1826,29-04-20,37,0,0,113,AJK,28,113
7,13286,915,8504,29-04-20,176,14,632,949,Balochistan,93,513
8,3933,330,3647,29-04-20,224,3,94,197,GB,9,132
9,9705,297,9705,29-04-20,36,4,238,458,ICT,19,458
10,15540,2160,16549,29-04-20,562,114,988,812,KP,496,812
11,47151,5827,77619,29-04-20,1427,100,2581,2152,Punjab,1719,2548
13,48061,5291,48061,29-04-20,963,92,2913,4112,Sindh,1323,4112
6,1958,66,1958,30-04-20,37,0,0,132,AJK,29,132
7,14187,978,8820,30-04-20,180,14,696,901,Balochistan,88,316
8,4176,333,3791,30-04-20,228,3,92,243,GB,10,144
9,10435,313,10435,30-04-20,44,4,244,730,ICT,21,730
10,16443,2313,17452,30-04-20,614,122,1001,903,KP,576,903
11,49573,6061,79914,30-04-20,1780,103,2581,2422,Punjab,1597,2295
13,51790,5695,51790,30-04-20,1169,100,3187,3729,Sindh,1239,3729
6,2038,66,2038,01-05-20,43,0,0,80,AJK,23,80
7,15335,1049,9435,01-05-20,183,14,762,1148,Balochistan,90,615
8,4370,339,3932,01-05-20,248,3,78,194,GB,10,141
9,11194,343,11194,01-05-20,44,4,277,759,ICT,18,759
10,17495,2627,18504,01-05-20,654,146,1211,1052,KP,616,1052
11,53262,6340,82651,01-05-20,1921,106,2610,3689,Punjab,1703,2737
13,54377,6053,54377,01-05-20,1222,112,3473,2587,Sindh,1246,2587
6,2054,66,2054,02-05-20,0,0,0,16,AJK,23,16
7,15653,1136,9821,02-05-20,847,16,1,318,Balochistan,90,386
8,4590,340,4146,02-05-20,72,3,0,220,GB,10,214
9,11689,365,11689,02-05-20,302,4,0,495,ICT,15,495
10,18480,2799,19489,02-05-20,1322,161,12,985,KP,626,985
11,56722,6733,88899,02-05-20,2610,115,6,3460,Punjab,1803,3684
13,57761,6675,57761,02-05-20,4044,118,16,3384,Sindh,1218,3384
6,2227,71,2227,04-05-20,0,0,0,42,AJK,27,42
7,15927,1218,10326,04-05-20,917,21,0,92,Balochistan,83,317
8,5069,364,4439,04-05-20,91,3,0,268,GB,10,146
9,12704,415,12704,04-05-20,339,4,2,415,ICT,16,415
10,20900,3129,21909,04-05-20,1535,180,9,1338,KP,603,1338
11,67908,7524,96854,04-05-20,2775,124,7,6021,Punjab,1958,4232
13,64052,7465,64052,04-05-20,4638,130,17,3032,Sindh,1142,3032
6,2281,71,2281,05-05-20,0,0,0,54,AJK,22,54
7,16110,1321,10633,05-05-20,1014,21,2,183,Balochistan,89,271
8,5160,372,4581,05-05-20,80,3,0,91,GB,10,142
9,13697,464,13697,05-05-20,383,4,4,993,ICT,21,993
10,21683,3288,22692,05-05-20,1578,185,14,783,KP,669,783
11,74533,8103,101897,05-05-20,2779,136,7,6625,Punjab,2472,5043
13,66623,7882,66623,05-05-20,4994,137,16,2571,Sindh,1122,2571
6,2391,76,2391,06-05-20,54,0,0,110,AJK,22,110
7,16334,1495,11496,06-05-20,206,21,1201,224,Balochistan,67,863
8,5284,386,4748,06-05-20,282,3,79,124,GB,22,167
9,14585,485,14585,06-05-20,56,4,407,888,ICT,18,888
10,22553,3499,23562,06-05-20,875,194,1797,915,KP,633,870
11,79911,8420,106927,06-05-20,3073,156,2779,5378,Punjab,2412,5030
13,69973,8189,68873,06-05-20,1671,148,5139,3350,Sindh,1231,2250
6,2471,76,2471,07-05-20,57,0,0,80,AJK,19,80
7,16470,1659,12289,07-05-20,209,22,1361,136,Balochistan,67,793
8,5565,388,4876,07-05-20,288,3,76,281,GB,21,128
9,15607,521,15607,07-05-20,56,4,442,1022,ICT,19,1022
10,23975,3712,24984,07-05-20,939,203,1899,1422,KP,671,1422
11,86398,9077,112007,07-05-20,3184,175,2779,6487,Punjab,2939,5080
13,72544,8640,72544,07-05-20,1731,157,5528,2571,Sindh,1224,3671
6,2518,78,2518,08-05-20,58,0,0,47,AJK,20,47
7,16705,1725,13241,08-05-20,209,24,1448,235,Balochistan,44,952
8,5658,394,5007,08-05-20,292,3,86,93,GB,13,131
9,16666,558,16666,08-05-20,72,4,464,1059,ICT,18,1059
10,25522,3956,26531,08-05-20,984,209,2059,1547,KP,704,1547
11,92781,10033,117206,08-05-20,4062,183,2779,6383,Punjab,3009,5199
13,76078,9093,76078,08-05-20,1853,171,5858,3534,Sindh,1211,3534
6,2668,79,2668,09-05-20,60,0,0,150,AJK,19,150
7,16822,1876,13771,09-05-20,222,24,1586,117,Balochistan,44,530
8,5886,421,5135,09-05-20,298,3,108,228,GB,12,128
9,17657,609,17657,09-05-20,72,4,504,991,ICT,29,991
10,26981,4327,27990,09-05-20,1033,221,2267,1459,KP,806,1459
11,96701,10471,121194,09-05-20,4131,191,2779,3920,Punjab,3370,3988
13,81610,9691,81610,09-05-20,1940,175,6422,5532,Sindh,1154,5532
6,2780,86,2780,10-05-20,60,0,0,112,AJK,26,112
7,16944,1935,14374,10-05-20,242,24,1641,122,Balochistan,28,603
8,5983,430,5310,10-05-20,303,4,110,97,GB,13,175
9,18755,641,18755,10-05-20,72,5,535,1098,ICT,29,1098
10,28193,4509,29202,10-05-20,1086,234,2587,1212,KP,602,1212
11,101371,11093,125988,10-05-20,4240,192,2779,4670,Punjab,3882,4794
13,87108,10771,87108,10-05-20,2020,180,7432,5498,Sindh,1139,5498
6,2854,86,2854,11-05-20,64,0,0,74,AJK,22,74
7,17237,2017,14687,11-05-20,242,26,1721,293,Balochistan,28,313
8,6060,442,5480,11-05-20,304,4,129,77,GB,5,170
9,19532,679,19532,11-05-20,72,6,573,777,ICT,28,777
10,29463,4669,30472,11-05-20,1126,245,2657,1270,KP,641,1270
11,103904,11568,130546,11-05-20,4323,197,2779,2533,Punjab,4269,4558
13,91323,11480,91323,11-05-20,2081,189,7973,4215,Sindh,1237,4215
6,2935,86,2935,12-05-20,0,1,0,81,AJK,21,81
7,17514,2061,15323,12-05-20,1761,27,1761,277,Balochistan,31,636
8,6213,457,5619,12-05-20,121,4,121,153,GB,12,139
9,20201,716,20201,12-05-20,602,6,602,669,ICT,36,669
10,30597,4875,31606,12-05-20,2713,257,2713,1134,KP,649,1134
11,107603,11869,135114,12-05-20,2784,211,2784,3699,Punjab,4422,4568
13,95053,12017,95053,12-05-20,8178,200,8178,3730,Sindh,1490,3730
6,3037,88,3037,13-05-20,0,1,0,102,AJK,19,102
7,17781,2158,15751,13-05-20,1844,27,1844,267,Balochistan,31,428
8,6224,475,5748,13-05-20,127,4,127,11,GB,13,129
9,21257,759,21257,13-05-20,632,6,632,1056,ICT,29,1056
10,31568,5021,32577,13-05-20,2860,267,2860,971,KP,589,971
11,114762,13225,140212,13-05-20,2780,214,2780,7159,Punjab,5700,5098
13,99117,12610,99117,13-05-20,8668,218,8668,4064,Sindh,1495,4064
6,3245,91,3245,14-05-20,69,1,0,208,AJK,21,-166
7,17910,2239,16062,14-05-20,326,27,1855,129,Balochistan,31,-539
8,6396,482,5884,14-05-20,337,4,129,172,GB,12,-143
9,22287,822,22287,14-05-20,100,6,690,1030,ICT,26,-1122
10,33253,5252,34352,14-05-20,1392,275,3013,1685,KP,572,-1553
11,121329,13561,145577,14-05-20,4636,223,2790,6567,Punjab,5912,-5670
13,103343,13341,103343,14-05-20,2835,234,8840,4226,Sindh,1432,-4487
6,3411,105,3411,15-05-20,76,1,0,166,AJK,28,374
7,18255,2310,16601,15-05-20,342,30,1907,345,Balochistan,31,850
8,6573,501,6027,15-05-20,339,4,141,177,GB,17,279
9,23409,866,23409,15-05-20,100,7,734,1122,ICT,25,2152
10,34806,5423,35905,15-05-20,1505,284,3087,1553,KP,547,3328
11,126538,13914,151247,15-05-20,4720,234,2780,5209,Punjab,6180,11035
13,107830,14099,107830,15-05-20,3073,243,9307,4487,Sindh,1476,8713
6,3572,108,3572,16-05-20,76,1,0,161,AJK,31,327
7,18609,2457,17078,16-05-20,383,31,2011,354,Balochistan,32,1016
8,6660,518,6173,16-05-20,345,4,145,87,GB,24,289
9,24367,921,24367,16-05-20,100,7,784,958,ICT,30,2080
10,36443,5678,37452,16-05-20,1613,291,3252,1637,KP,522,3100
11,132593,14201,157226,16-05-20,4757,245,2781,6055,Punjab,6418,11649
13,113396,14916,113396,16-05-20,3606,255,9651,5566,Sindh,1404,10053
6,3758,112,3758,17-05-20,77,1,0,186,AJK,34,347
7,18627,2544,17663,17-05-20,417,36,2059,18,Balochistan,32,1062
8,6808,527,6356,17-05-20,348,4,154,148,GB,21,329
9,25385,947,25385,17-05-20,113,7,805,1018,ICT,22,1976
10,37913,5847,38992,17-05-20,1699,305,3469,1470,KP,374,3087
11,138511,14584,163466,17-05-20,4883,252,2832,5918,Punjab,6617,12219
13,117860,15590,117860,17-05-20,3804,268,10253,4464,Sindh,1265,10030
6,3947,112,3947,18-05-20,77,1,0,189,AJK,34,375
7,18801,2692,18021,18-05-20,454,36,2176,174,Balochistan,26,943
8,6929,540,6517,18-05-20,368,4,142,121,GB,26,344
9,26606,997,26606,18-05-20,113,7,846,1221,ICT,31,2239
10,39321,6061,40410,18-05-20,1783,318,3440,1408,KP,520,2958
11,142864,15346,168940,18-05-20,4918,260,2780,4353,Punjab,7388,11714
13,122894,16337,122894,18-05-20,4209,277,10445,5034,Sindh,1406,9498
6,4090,115,4090,19-05-20,77,1,0,143,AJK,37,332
7,19029,2820,18438,19-05-20,524,38,2224,228,Balochistan,34,775
8,6985,550,6636,19-05-20,368,4,156,56,GB,22,280
9,27425,1034,27425,19-05-20,113,9,890,819,ICT,22,2040
10,40721,6230,41825,19-05-20,1944,334,3474,1400,KP,478,2833
11,148621,15976,174305,19-05-20,4974,273,2780,5757,Punjab,7949,10839
13,127573,17241,127573,19-05-20,4489,280,11095,4679,Sindh,1377,9713
6,4242,133,4242,20-05-20,77,1,0,152,AJK,55,295
7,19381,2885,19003,20-05-20,608,38,2200,352,Balochistan,39,982
8,7071,556,6731,20-05-20,390,4,142,86,GB,20,214
9,29033,1138,29033,20-05-20,151,9,948,1608,ICT,30,2427
10,42121,6554,43329,20-05-20,2058,345,3639,1400,KP,512,2919
11,155679,16685,180540,20-05-20,5076,289,2782,7058,Punjab,8538,11600
13,131376,17947,131376,20-05-20,4741,299,11373,3803,Sindh,1534,8482
6,4470,148,4470,21-05-20,79,1,0,228,AJK,68,380
7,19394,2968,19345,21-05-20,636,38,2259,13,Balochistan,35,907
8,7178,579,6928,21-05-20,402,4,151,107,GB,22,292
9,30364,1235,30364,21-05-20,151,10,1039,1331,ICT,35,2939
10,43623,6815,44973,21-05-20,2130,351,3799,1502,KP,535,3148
11,162669,17382,185979,21-05-20,5112,297,3255,6990,Punjab,8718,11674
13,137540,18964,137540,21-05-20,5645,316,11516,6164,Sindh,1487,9967
6,4659,158,4659,22-05-20,79,1,0,189,AJK,78,417
7,19698,3074,19888,22-05-20,724,39,2253,304,Balochistan,58,885
8,7310,602,7099,22-05-20,412,4,161,132,GB,25,368
9,32126,1326,32126,22-05-20,151,12,1129,1762,ICT,34,3093
10,45049,7155,46762,22-05-20,2198,365,4172,1426,KP,420,3433
11,165801,18455,191910,22-05-20,5312,310,3415,3132,Punjab,9418,11370
13,143543,19924,143543,22-05-20,6325,336,11735,6003,Sindh,1528,12167
6,4868,171,4868,23-05-20,94,1,0,209,AJK,76,398
7,19980,3198,20383,23-05-20,762,39,2339,282,Balochistan,58,1038
8,7540,607,7338,23-05-20,427,4,150,230,GB,26,410
9,32964,1457,32964,23-05-20,152,12,1260,838,ICT,33,2600
10,46279,7391,48348,23-05-20,2297,381,4248,1230,KP,465,3375
11,169603,18730,197225,23-05-20,5906,324,10374,3802,Punjab,2126,11246
13,149566,20883,149566,23-05-20,7015,340,11895,6023,Sindh,1633,12026
6,5103,197,5103,24-05-20,97,1,0,235,AJK,99,444
7,19998,3306,20987,24-05-20,860,39,2346,18,Balochistan,61,1099
8,7780,619,7443,24-05-20,430,4,161,240,GB,24,344
9,33936,1592,33936,24-05-20,152,14,1396,972,ICT,30,1810
10,47431,7685,49780,24-05-20,2396,389,4497,1152,KP,403,3018
11,175007,19557,202456,24-05-20,6050,332,11215,5404,Punjab,1960,10546
13,153902,21645,153902,24-05-20,7213,354,12424,4336,Sindh,1654,10359
6,5225,209,5225,25-05-20,99,2,0,122,AJK,108,357
7,19998,3407,21401,25-05-20,875,40,2415,0,Balochistan,77,1018
8,7827,619,7574,25-05-20,437,7,151,47,GB,24,236
9,34379,1641,34379,25-05-20,152,16,1442,443,ICT,31,1415
10,48476,7905,51587,25-05-20,2469,398,4637,1045,KP,401,3239
11,178178,20077,206041,25-05-20,6091,337,11596,3171,Punjab,2053,8816
13,157449,22491,157449,25-05-20,7359,367,13094,3547,Sindh,1671,7883
6,5341,211,5341,26-05-20,99,2,0,116,AJK,110,238
7,20352,3468,21597,26-05-20,993,41,2357,354,Balochistan,77,610
8,8086,630,7652,26-05-20,444,8,154,259,GB,24,209
9,34964,1728,34964,26-05-20,152,17,1527,585,ICT,32,1028
10,49025,8080,52783,26-05-20,2529,408,4743,549,KP,400,3003
11,180538,20654,209270,26-05-20,6124,352,12041,2360,Punjab,2137,6814
13,159301,22934,159301,26-05-20,7973,369,12943,1852,Sindh,1649,5399
6,5379,214,5379,27-05-20,99,4,0,38,AJK,111,154
7,20574,3536,21866,27-05-20,1156,42,2229,222,Balochistan,109,465
8,8175,638,7761,27-05-20,457,9,148,89,GB,24,187
9,35551,1879,35551,27-05-20,152,18,1678,587,ICT,31,1172
10,49627,8259,53917,27-05-20,2578,416,4862,602,KP,403,2330
11,182977,21118,213297,27-05-20,6185,362,12394,2439,Punjab,2177,7256
13,161628,23507,161628,27-05-20,8515,374,12931,2327,Sindh,1687,4179
